あ　ア　a
い　イ　i
う　ウ　u
え　エ　e
お　オ　o

か　カ　ka
き　キ　ki
く　ク　ku	
け　ケ　ke	
こ　コ　ko	

さ　サ　sa	
し　シ　shi
す　ス　su
せ　セ　se
そ　ソ　so

た　タ　ta
ち　チ　chi
つ　ツ　tsu
て　テ　te
と　ト　to
	
な　ナ　na
に　ニ　ni
ぬ　ヌ　nu
ね　ネ　ne
の　ノ　no

ま　マ　ma
み　ミ　mi
む　ム　mu
め　メ　me
も　モ　mo

は　ハ　ha
ひ　ヒ　hi
ふ　フ　fu
へ　ヘ　he
ほ　ホ　ho

ら　ラ　ra
り　リ　ri
る　ル　ru
れ　レ　re	
ろ　ロ　ro

や　ヤ　ya
ゆ　ユ　yu
よ　ヨ　yo

わ　ワ　wa
ゑ　ヱ　we
を　ヲ　wo

ん　ン　n


が　ガ　ga
ぎ　ギ　gi
ぐ　グ　gu
げ　ゲ　ge
ご　ゴ　go
ぎゃ　ギャ　gya
ぎゅ　ギュ　gyu
ぎょ　ギヨ　gyo

ざ　ザ　za
じ　ジ　ji
ず　ズ　zu
ぜ　ゼ　ze
ぞ　ゾ　zo
じゃ　ジャ　ja
じゅ　ジュ　ju
じょ　ジョ　jo

だ　ダ　da
ぢ　ヂ　ji,　di
づ　ヅ　zu,　du
で　デ　de
ど　ド　do
ぢゃ　ヂャ　ja,　dya
ぢゅ　ヂュ　ju,　dyu
ぢょ　ヂョ　jo,　dyo

ば　バ　ba
び　ビ　bi
ぶ　ブ　bu
べ　ベ　be
ぼ　ボ　bo
びゃ　ビャ　bya
びゅ　ビュ　byu
びょ　ビョ　byo

ぱ　パ　pa
ぴ　ピ　pi
ぷ　プ　pu
ぺ　ペ　pe
ぽ　ポ　po
ぴゃ　ピャ　pya
ぴゅ　ピュ　pyu
ぴょ　ｐゾ　pyo
